"Month","Sales"
"1901-01",266.0
"1901-02",145.9
"1901-03",183.1
"1901-04",119.3
"1901-05",180.3
"1901-06",168.5
"1901-07",231.8
"1901-08",224.5
"1901-09",192.8
"1901-10",122.9
"1901-11",336.5
"1901-12",185.9
"1902-01",194.3
"1902-02",149.5
"1902-03",210.1
"1902-04",273.3
"1902-05",191.4
"1902-06",287.0
"1902-07",226.0
"1902-08",303.6
"1902-09",289.9
"1902-10",421.6
"1902-11",264.5
"1902-12",342.3
"1903-01",339.7
"1903-02",440.4
"1903-03",315.9
"1903-04",439.3
"1903-05",401.3
"1903-06",437.4
"1903-07",575.5
"1903-08",407.6
"1903-09",682.0
"1903-10",475.3
"1903-11",581.3
"1903-12",646.9

